Measurement Time,Slope Movement,Moisture-15ft,Suction-15ft,Temp-15ft,Moisture-10ft,Suction-10ft,Temp-10ft,Moisture-5ft,Suction-5ft,Temp-5ft,Precipitation,Pre1_Precip,Pre2_Precip,Pre3_Precip,sum_2days_Precip,sum_3days_Precip,sum_4days_Precip,sum_5days_Precip,sum_6days_Precip,sum_7days_Precip,sum_14days_Precip,sum_21days_Precip,cum_Precip
2018-10-08 00:00:00,0,0.328661583,-11.00084752,71.24,0.516072,-11.30124123,74.3,0.533161417,-10.10011096,77.9,0,0,0,0,0,0,0,0,0,0,144,144,314
2018-10-09 00:00:00,0.001033333,0.32443825,-11.00084752,71.24,0.516072,-11.30124123,74.3,0.533644083,-10.10011096,77.9,0,0,0,0,0,0,0,0,0,0,136,144,314
2018-10-10 00:00:00,0.002066667,0.319868,-11.00084752,71.24,0.515649667,-11.30124123,74.3,0.531939667,-10.10011096,77.9,0,0,0,0,0,0,0,0,0,0,132,144,314
2018-10-11 00:00:00,0.0031,0.315237417,-11.00084752,71.24,0.51530275,-11.30200029,74.3,0.536525,-10.08265351,77.9,0,0,0,0,0,0,0,0,0,0,132,144,314
2018-10-12 00:00:00,0.004133333,0.310425833,-11.00084752,71.24,0.515906083,-11.3065561,74.3,0.535906583,-10.00185121,77.7575,0,0,0,0,0,0,0,0,0,0,130,144,314
2018-10-13 00:00:00,0.005166667,0.301330583,-10.99683882,71.345,0.5158005,-11.30167505,74.3,0.531894417,-10.13231709,77.72,0,0,0,0,0,0,0,0,0,0,11,144,314
2018-10-14 00:00:00,0.0062,0.292144833,-10.96681366,71.42,0.516072,-11.30124123,74.3,0.5268415,-10.20051219,77.72,0,0,0,0,0,0,0,0,0,0,0,144,314
2018-10-15 00:00:00,0.007233333,0.28584,-10.93865314,71.42,0.515529,-11.30536311,74.36,0.522618167,-10.20031648,77.72,0,0,0,0,0,0,0,0,0,0,0,144,314
2018-10-16 00:00:00,0.008266667,0.280711667,-10.90365343,71.42,0.515544083,-11.3056885,74.48,0.51982775,-10.20002294,77.66,0,0,0,0,0,0,0,0,0,0,0,136,314
2018-10-17 00:00:00,0.0093,0.276895583,-10.89999115,71.42,0.516072,-11.30210881,74.54,0.51693175,-10.20051219,77.54,0,0,0,0,0,0,0,0,0,0,0,132,314
2018-10-18 00:00:00,0.010333333,0.275176083,-10.89999115,71.42,0.516056917,-11.30124123,74.66,0.514986,-10.20061004,77.39,5,0,0,0,0,0,0,0,0,0,0,132,319
2018-10-19 00:00:00,0.011366667,0.275553167,-10.89999115,71.42,0.515453583,-11.30124123,74.66,0.513176,-10.20061004,77.345,2,5,0,0,5,5,5,5,5,5,5,135,321
2018-10-20 00:00:00,0.0124,0.27466325,-10.89999115,71.5325,0.5156195,-11.30124123,74.66,0.511893917,-10.26283971,77.18,0,2,5,0,7,7,7,7,7,7,7,18,321
2018-10-21 00:00:00,0.013433333,0.272989,-10.89999115,71.6,0.516072,-11.30124123,74.66,0.510823,-10.30151655,77.12,0,0,2,5,2,7,7,7,7,7,7,7,321
2018-10-22 00:00:00,0.014466667,0.271918083,-10.89999115,71.6,0.51575525,-11.30124123,74.66,0.509902917,-10.39524759,76.925,0,0,0,2,0,2,7,7,7,7,7,7,321
2018-10-23 00:00:00,0.0155,0.270394667,-10.89999115,71.6,0.515694917,-11.30124123,74.66,0.508801833,-10.40932826,76.73,0,0,0,0,0,0,2,7,7,7,7,7,321
2018-10-24 00:00:00,0.016533333,0.26878075,-10.89121459,71.6,0.516147417,-11.30124123,74.66,0.507746,-10.50079014,76.5425,0,0,0,0,0,0,0,2,7,7,7,7,321
2018-10-25 00:00:00,0.017566667,0.26742325,-10.84513462,71.6,0.516072,-11.30124123,74.66,0.507097417,-10.55502162,76.3475,0,0,0,0,0,0,0,0,2,7,7,7,321
2018-10-26 00:00:00,0.0186,0.266050667,-10.80482769,71.6,0.516056917,-11.30124123,74.66,0.506237667,-10.6072169,76.1075,0,0,0,0,0,0,0,0,0,2,7,7,321
2018-10-27 00:00:00,0.019633333,0.26488925,-10.80026668,71.6525,0.515242417,-11.30124123,74.66,0.50625275,-10.69776428,75.845,16,0,0,0,0,0,0,0,0,0,7,7,337
2018-10-28 00:00:00,0.020666667,0.26371275,-10.80005943,71.78,0.514624,-11.30124123,74.66,0.504955583,-10.749704,75.6125,0,16,0,0,16,16,16,16,16,16,23,23,337
2018-10-29 00:00:00,0.0217,0.262883167,-10.80005943,71.78,0.514684333,-11.30124123,74.66,0.503477417,-10.82159719,75.335,0,0,16,0,16,16,16,16,16,16,23,23,337
2018-10-30 00:00:00,0.022733333,0.262491,-10.80005943,71.78,0.5147145,-11.30124123,74.66,0.502889167,-10.89999115,75.1175,0,0,0,16,0,16,16,16,16,16,23,23,337
2018-10-31 00:00:00,0.023766667,0.26262675,-10.80005943,71.78,0.515348,-11.30124123,74.6,0.501923833,-10.99210982,74.885,0,0,0,0,0,0,16,16,16,16,23,23,337
2018-11-01 00:00:00,0.0248,0.262204417,-10.80005943,71.78,0.516072,-11.30124123,74.4575,0.501395917,-11.05722615,74.615,0,0,0,0,0,0,0,16,16,16,23,23,337
2018-11-02 00:00:00,0.026566667,0.262144083,-10.80005943,71.78,0.51557425,-11.30124123,74.3,0.500973583,-11.12647466,74.2925,1,0,0,0,0,0,0,0,16,16,18,23,338
2018-11-03 00:00:00,0.028333333,0.263516667,-10.71465454,71.78,0.5186965,-11.12789603,74.3,0.524820333,-10.59955463,74.0075,48,1,0,0,1,1,1,1,1,17,17,24,386
2018-11-04 00:00:00,0.0301,0.2596855,-10.70104389,71.78,0.519164083,-11.10008093,74.3,0.529104,-10.09768627,73.94,1,48,1,0,49,49,49,49,49,49,65,72,387
2018-11-05 00:00:00,0.031866667,0.258976583,-10.70104389,71.915,0.518425,-11.10008093,74.3,0.529119083,-10.00060203,73.94,0,1,48,1,49,50,50,50,50,50,66,73,387
2018-11-06 00:00:00,0.033633333,0.259579917,-10.70104389,71.96,0.517640667,-11.10008093,74.3,0.52742975,-9.961305688,73.7975,3,0,1,48,1,49,50,50,50,50,66,73,390
2018-11-07 00:00:00,0.0354,0.260122917,-10.70104389,71.96,0.51752,-11.10008093,74.1725,0.5272035,-9.907495505,73.7225,7,3,0,1,3,4,52,53,53,53,69,76,397
2018-11-08 00:00:00,0.037166667,0.261465333,-10.62129513,71.96,0.5201445,-10.91739791,74.12,0.529858167,-9.86709419,73.52,12,7,3,0,10,10,11,59,60,60,76,83,409
2018-11-09 00:00:00,0.038933333,0.260334083,-10.60609399,71.96,0.520416,-10.89999115,74.12,0.529360417,-9.730396366,73.355,40,12,7,3,19,22,22,23,71,72,88,90,449
2018-11-10 00:00:00,0.0407,0.2605,-10.60049499,71.96,0.520778,-10.89999115,74.12,0.52896825,-9.638117545,73.19,18,40,12,7,52,59,62,62,63,111,128,128,467
2018-11-11 00:00:00,0.042466667,0.260937417,-10.60049499,71.96,0.520778,-10.82118949,74.0375,0.52896825,-9.599003393,73.04,20,18,40,12,58,70,77,80,80,81,130,146,487
2018-11-12 00:00:00,0.044233333,0.260439667,-10.60049499,71.96,0.520084167,-10.80005943,73.94,0.52838,-9.588063149,72.8975,1,20,18,40,38,78,90,97,100,100,150,166,488
2018-11-13 00:00:00,0.046,0.26113712,-10.60049499,71.96,0.51950376,-10.80005943,73.94,0.52904608,-9.513118607,72.7664,0,1,20,18,21,39,79,91,98,101,151,167,488
2018-11-14 00:00:00,0.046404348,0.261651818,-10.60049499,71.96,0.520712182,-10.7917013,73.94,0.531210182,-9.500055559,72.64727273,12,0,1,20,1,21,39,79,91,98,151,167,500
2018-11-15 00:00:00,0.046808696,0.261948,-10.60049499,71.96,0.520400917,-10.71659131,73.79,0.531562583,-9.500055559,72.4175,79,12,0,1,12,13,33,51,91,103,163,179,579
2018-11-16 00:00:00,0.047213043,0.26235525,-10.60049499,71.96,0.5197825,-10.70104389,73.76,0.531079917,-9.436451204,71.975,1,79,12,0,91,91,92,112,130,170,242,258,580
2018-11-17 00:00:00,0.047617391,0.26412,-10.60049499,72.0425,0.519224417,-10.70104389,73.7375,0.529390583,-9.399963023,71.405,0,1,79,12,80,92,92,93,113,131,242,259,580
2018-11-18 00:00:00,0.048021739,0.266352333,-10.60049499,72.14,0.518485333,-10.70104389,73.58,0.527716333,-9.399963023,71.0075,0,0,1,79,1,80,92,92,93,113,194,243,580
2018-11-19 00:00:00,0.048426087,0.267483583,-10.60049499,72.14,0.517987583,-10.69325067,73.58,0.526932,-9.399963023,70.5425,0,0,0,1,0,1,80,92,92,93,193,243,580
2018-11-20 00:00:00,0.048830435,0.267755083,-10.60049499,72.14,0.51756525,-10.61516662,73.5575,0.526811333,-9.399963023,70.085,0,0,0,0,0,0,1,80,92,92,193,243,580
2018-11-21 00:00:00,0.049234783,0.267181917,-10.6011053,72.14,0.51752,-10.60049499,73.4,0.525589583,-9.399963023,69.635,0,0,0,0,0,0,0,1,80,92,190,243,580
2018-11-22 00:00:00,0.04963913,0.267046167,-10.60395406,72.14,0.51752,-10.60049499,73.4,0.524473417,-9.399782675,69.2525,0,0,0,0,0,0,0,0,1,80,183,243,580
2018-11-23 00:00:00,0.050043478,0.267589167,-10.60792269,72.14,0.51752,-10.60049499,73.3025,0.52299525,-9.399602327,68.9225,0,0,0,0,0,0,0,0,0,1,171,243,580
2018-11-24 00:00:00,0.050447826,0.266910417,-10.61606888,72.14,0.517037333,-10.60049499,73.22,0.522618167,-9.399782675,68.7125,0,0,0,0,0,0,0,0,0,0,131,242,580
2018-11-25 00:00:00,0.050852174,0.267136667,-10.61974193,72.14,0.517097667,-10.57164533,73.13,0.522482417,-9.372326981,68.4875,14,0,0,0,0,0,0,0,0,0,113,194,594
2018-11-26 00:00:00,0.051256522,0.26968575,-10.60049499,72.14,0.519028333,-10.50089087,73.04,0.52552925,-9.30092506,68.1425,0,14,0,0,14,14,14,14,14,14,107,207,594
2018-11-27 00:00:00,0.05166087,0.272053833,-10.60049499,72.14,0.51801775,-10.50089087,72.9275,0.524820333,-9.30092506,67.9175,0,0,14,0,14,14,14,14,14,14,106,207,594
2018-11-28 00:00:00,0.052065217,0.273607417,-10.60049499,72.14,0.51752,-10.49917858,72.86,0.523251667,-9.30092506,67.7075,0,0,0,14,0,14,14,14,14,14,106,204,594
2018-11-29 00:00:00,0.052469565,0.274693417,-10.60049499,72.14,0.51752,-10.4405571,72.7175,0.522588,-9.30092506,67.49,0,0,0,0,0,0,14,14,14,14,94,197,594
2018-11-30 00:00:00,0.052873913,0.275161,-10.60049499,72.14,0.517188167,-10.39982772,72.6725,0.522588,-9.30092506,67.34,0,0,0,0,0,0,0,14,14,14,15,185,594
2018-12-01 00:00:00,0.053278261,0.27556825,-10.60049499,72.14,0.51666025,-10.39982772,72.5,0.522407,-9.30092506,67.0475,0,0,0,0,0,0,0,0,14,14,14,145,594
2018-12-02 00:00:00,0.053682609,0.276774917,-10.60049499,72.14,0.5177915,-10.34993373,72.4025,0.52326675,-9.300122067,66.7775,1,0,0,0,0,0,0,0,0,14,14,127,595
2018-12-03 00:00:00,0.054086957,0.279158083,-10.60049499,72.14,0.51856075,-10.30023142,72.32,0.524051083,-9.23740813,66.5225,0,1,0,0,1,1,1,1,1,1,15,108,595
2018-12-04 00:00:00,0.054491304,0.280983167,-10.60049499,72.14,0.517716083,-10.29973723,72.1625,0.52295,-9.200811752,66.38,0,0,1,0,1,1,1,1,1,1,15,107,595
2018-12-05 00:00:00,0.054895652,0.28244625,-10.60049499,72.14,0.51752,-10.29973723,72.1025,0.522769,-9.200811752,66.38,0,0,0,1,0,1,1,1,1,1,15,107,595
2018-12-06 00:00:00,0.0553,0.283185333,-10.60049499,71.9975,0.517339,-10.29973723,71.96,0.521396417,-9.200811752,66.38,0,0,0,0,0,0,1,1,1,1,15,95,595
2018-12-07 00:00:00,0.0515,0.283456833,-10.60049499,71.96,0.5167055,-10.29273078,71.87,0.520838333,-9.200811752,66.2975,0,0,0,0,0,0,0,1,1,1,15,16,595
2018-12-08 00:00:00,0.0477,0.28403,-10.60049499,71.96,0.516177583,-10.28346569,71.78,0.521079667,-9.200811752,66.2,0,0,0,0,0,0,0,0,1,1,15,15,595
2018-12-09 00:00:00,0.0439,0.2839395,-10.60049499,71.96,0.516147417,-10.27636524,71.615,0.520808167,-9.200811752,66.05,1,0,0,0,0,0,0,0,0,1,15,15,596
2018-12-10 00:00:00,0.0401,0.285659,-10.60049499,71.96,0.51756525,-10.20061004,71.5325,0.523885167,-9.200811752,65.795,0,1,0,0,1,1,1,1,1,1,2,16,596
2018-12-11 00:00:00,0.0363,0.288117583,-10.60049499,71.96,0.51752,-10.19963163,71.42,0.522738833,-9.200811752,65.57,0,0,1,0,1,1,1,1,1,1,2,16,596
2018-12-12 00:00:00,0.0325,0.2899125,-10.60049499,71.96,0.51752,-10.15965134,71.315,0.522014833,-9.200811752,65.36,0,0,0,1,0,1,1,1,1,1,2,16,596
2018-12-13 00:00:00,0.0287,0.291752667,-10.60049499,71.96,0.5172485,-10.13231218,71.24,0.521064583,-9.200811752,65.12,1,0,0,0,0,0,1,1,1,1,2,16,597
2018-12-14 00:00:00,0.0249,0.293638083,-10.60049499,71.96,0.5163435,-10.11272315,71.105,0.520250083,-9.200811752,64.835,0,1,0,0,1,1,1,2,2,2,3,17,597
2018-12-15 00:00:00,0.0211,0.2949805,-10.60049499,71.96,0.516599917,-10.10020788,71.0525,0.519797583,-9.167611324,64.5125,12,0,1,0,1,1,1,1,2,2,3,17,609
2018-12-16 00:00:00,0.0173,0.297031833,-10.60049499,71.9225,0.517459667,-10.10011096,70.88,0.520747833,-9.099680524,64.1975,0,12,0,1,12,13,13,13,13,14,15,29,609
2018-12-17 00:00:00,0.0135,0.298449667,-10.60049499,71.78,0.516961917,-10.10011096,70.835,0.519692,-9.099680524,63.935,1,0,12,0,12,12,13,13,13,13,14,15,610
2018-12-18 00:00:00,0.0097,0.299792083,-10.60049499,71.78,0.516630083,-10.10011096,70.7,0.51933,-9.099680524,63.7475,0,1,0,12,1,13,13,14,14,14,15,16,610
2018-12-19 00:00:00,0.013922222,0.301225,-10.60049499,71.78,0.516072,-10.10011096,70.61,0.518952917,-9.099680524,63.6275,0,0,1,0,1,1,13,13,14,14,15,16,610
2018-12-20 00:00:00,0.018144444,0.302114917,-10.60049499,71.78,0.516056917,-10.09952971,70.52,0.5177915,-9.099680524,63.5,0,0,0,1,0,1,1,13,13,14,15,16,610
2018-12-21 00:00:00,0.022366667,0.303336667,-10.60049499,71.78,0.515815583,-10.06717721,70.3775,0.517866917,-9.099680524,63.3575,18,0,0,0,0,0,1,1,13,13,15,16,628
2018-12-22 00:00:00,0.026588889,0.305267333,-10.59896982,71.78,0.516072,-10.0025219,70.28,0.51933,-9.099680524,63.26,4,18,0,0,18,18,18,19,19,31,33,34,632
2018-12-23 00:00:00,0.030811111,0.3067455,-10.59490306,71.7725,0.516072,-10.00060203,70.16,0.519269667,-9.099680524,63.14,0,4,18,0,22,22,22,22,23,23,37,38,632
2018-12-24 00:00:00,0.035033333,0.3089175,-10.59815627,71.6,0.516072,-10.00060203,70.0325,0.518606,-9.099680524,63.095,0,0,4,18,4,22,22,22,22,23,36,37,632
2018-12-25 00:00:00,0.039255556,0.310923583,-10.59927475,71.6,0.516072,-10.00060203,69.9725,0.518485333,-9.099680524,62.96,0,0,0,4,0,4,22,22,22,22,36,37,632
2018-12-26 00:00:00,0.043477778,0.311798417,-10.6003933,71.6,0.515725083,-10.00060203,69.8,0.517761333,-9.099680524,62.8325,0,0,0,0,0,0,4,22,22,22,36,37,632
2018-12-27 00:00:00,0.0477,0.311964333,-10.60049499,71.6,0.5150765,-10.00060203,69.7475,0.51647925,-9.099680524,62.675,0,0,0,0,0,0,0,4,22,22,36,37,632
2018-12-28 00:00:00,0.051922222,0.312929667,-10.60049499,71.6,0.514624,-10.00060203,69.62,0.516434,-9.099680524,62.5325,0,0,0,0,0,0,0,0,4,22,35,37,632
2018-12-29 00:00:00,0.056144444,0.314000583,-10.60049499,71.5625,0.515513917,-10.00060203,69.5,0.518093167,-9.099680524,62.42,0,0,0,0,0,0,0,0,0,4,35,37,632
2018-12-30 00:00:00,0.060366667,0.31529775,-10.60049499,71.42,0.516072,-10.00060203,69.4175,0.51828925,-9.099680524,62.39,0,0,0,0,0,0,0,0,0,0,23,37,632
2018-12-31 00:00:00,0.064588889,0.317047417,-10.60049499,71.42,0.516072,-9.999834613,69.26,0.518319417,-9.099680524,62.24,0,0,0,0,0,0,0,0,0,0,23,36,632
2019-01-01 00:00:00,0.068811111,0.32090875,-10.60049499,71.42,0.516072,-9.998395709,69.185,0.518319417,-9.098894905,62.24,0,0,0,0,0,0,0,0,0,0,22,36,632
2019-01-02 00:00:00,0.073033333,0.321210417,-10.60049499,71.42,0.516072,-9.996862238,69.08,0.518455167,-9.058533563,62.24,0,0,0,0,0,0,0,0,0,0,22,36,632
2019-01-03 00:00:00,0.077255556,0.322145583,-10.60049499,71.42,0.515875917,-9.986319964,68.975,0.518123333,-9.000438168,62.24,0,0,0,0,0,0,0,0,0,0,22,36,632
2019-01-04 00:00:00,0.081477778,0.323231583,-10.60049499,71.24,0.515815583,-9.935506359,68.9,0.518726667,-8.999660885,62.24,0,0,0,0,0,0,0,0,0,0,22,35,632
2019-01-05 00:00:00,0.0857,0.32507175,-10.60049499,71.24,0.515529,-9.90435427,68.735,0.518998167,-8.999660885,62.24,0,0,0,0,0,0,0,0,0,0,4,35,632
2019-01-06 00:00:00,0.08678125,0.32832975,-10.60049499,71.24,0.515106667,-9.90026869,68.72,0.5181535,-8.999660885,62.24,0,0,0,0,0,0,0,0,0,0,0,23,632
2019-01-07 00:00:00,0.0878625,0.328706833,-10.60049499,71.24,0.51466925,-9.899793715,68.54,0.517882,-8.999660885,62.24,0,0,0,0,0,0,0,0,0,0,0,23,632
2019-01-08 00:00:00,0.08894375,0.329898417,-10.60049499,71.225,0.514624,-9.899793715,68.54,0.517806583,-8.999660885,62.24,0,0,0,0,0,0,0,0,0,0,0,22,632
2019-01-09 00:00:00,0.090025,0.33122575,-10.60049499,71.06,0.514624,-9.899793715,68.375,0.517685917,-8.999660885,62.075,0,0,0,0,0,0,0,0,0,0,0,22,632
2019-01-10 00:00:00,0.09110625,0.332960333,-10.60049499,71.06,0.514624,-9.899793715,68.36,0.517640667,-8.999660885,62.0075,0,0,0,0,0,0,0,0,0,0,0,22,632
2019-01-11 00:00:00,0.0921875,0.333156417,-10.60049499,71.06,0.514624,-9.899793715,68.24,0.516584833,-8.999660885,61.88,0,0,0,0,0,0,0,0,0,0,0,22,632
2019-01-12 00:00:00,0.09326875,0.334136833,-10.60049499,71.06,0.514262,-9.899793715,68.18,0.516072,-8.999660885,61.88,0,0,0,0,0,0,0,0,0,0,0,4,632
2019-01-13 00:00:00,0.09435,0.33502675,-10.60049499,70.9475,0.513839667,-9.899793715,68.09,0.515106667,-8.999660885,61.88,0,0,0,0,0,0,0,0,0,0,0,0,632
2019-01-14 00:00:00,0.09543125,0.336052417,-10.60049499,70.88,0.5141715,-9.899793715,68,0.516856333,-8.999660885,61.73,0,0,0,0,0,0,0,0,0,0,0,0,632
2019-01-15 00:00:00,0.0965125,0.337425,-10.60049499,70.88,0.514624,-9.899793715,67.925,0.517535083,-8.999660885,61.685,0,0,0,0,0,0,0,0,0,0,0,0,632
2019-01-16 00:00:00,0.09759375,0.338616583,-10.60049499,70.88,0.514624,-9.899793715,67.82,0.516464167,-8.999660885,61.52,0,0,0,0,0,0,0,0,0,0,0,0,632
2019-01-17 00:00:00,0.098675,0.339491417,-10.60049499,70.8275,0.514624,-9.899793715,67.82,0.516434,-8.999660885,61.415,0,0,0,0,0,0,0,0,0,0,0,0,632
2019-01-18 00:00:00,0.09975625,0.340170167,-10.60049499,70.7,0.514156417,-9.899793715,67.6475,0.51638875,-8.999660885,61.2725,0,0,0,0,0,0,0,0,0,0,0,0,632
2019-01-19 00:00:00,0.1008375,0.340939417,-10.60049499,70.7,0.51385475,-9.899793715,67.64,0.515046333,-8.999660885,61.07,0,0,0,0,0,0,0,0,0,0,0,0,632
2019-01-20 00:00:00,0.10191875,0.342598583,-10.60049499,70.7,0.513357,-9.899793715,67.565,0.514970917,-8.999660885,60.8825,0,0,0,0,0,0,0,0,0,0,0,0,632
2019-01-21 00:00:00,0.103,0.344634833,-10.60049499,70.7,0.51439775,-9.899793715,67.46,0.516237917,-8.999660885,60.7325,0,0,0,0,0,0,0,0,0,0,0,0,632
2019-01-22 00:00:00,0.10459375,0.346912417,-10.60049499,70.535,0.51457875,-9.899793715,67.4225,0.516283167,-8.999660885,60.62,0,0,0,0,0,0,0,0,0,0,0,0,632
2019-01-23 00:00:00,0.1061875,0.348224667,-10.60049499,70.52,0.5139905,-9.899793715,67.28,0.5156195,-8.999660885,60.62,0,0,0,0,0,0,0,0,0,0,0,0,632
2019-01-24 00:00:00,0.10778125,0.347946609,-10.60049499,70.52,0.51336487,-9.899793715,67.28,0.515678522,-8.999660885,60.53391304,0,0,0,0,0,0,0,0,0,0,0,0,632
2019-01-25 00:00:00,0.109375,0.348586667,-10.58262164,70.52,0.513658667,-9.854275994,67.0475,0.516072,-8.999660885,60.4175,16,0,0,0,0,0,0,0,0,0,0,0,648
2019-01-26 00:00:00,0.11096875,0.3492805,-10.55776789,70.4075,0.5139,-9.802258665,66.92,0.51620775,-8.999660885,60.26,0,16,0,0,16,16,16,16,16,16,16,16,648
2019-01-27 00:00:00,0.1125625,0.3501855,-10.54511325,70.34,0.513477667,-9.8003777,66.9125,0.51521225,-8.999660885,60.1625,0,0,16,0,16,16,16,16,16,16,16,16,648
2019-01-28 00:00:00,0.11415625,0.350984917,-10.55068051,70.34,0.513176,-9.800001568,66.74,0.514986,-8.999660885,60.08,0,0,0,16,0,16,16,16,16,16,16,16,648
2019-01-29 00:00:00,0.11575,0.351196083,-10.55007109,70.34,0.513176,-9.800001568,66.74,0.514986,-8.999660885,59.93,0,0,0,0,0,0,16,16,16,16,16,16,648
2019-01-30 00:00:00,0.11734375,0.351754167,-10.54673182,70.295,0.513176,-9.800001568,66.635,0.514563667,-8.999660885,59.7725,7,0,0,0,0,0,0,16,16,16,16,16,655
2019-01-31 00:00:00,0.1189375,0.353006083,-10.5034131,70.16,0.513176,-9.800001568,66.56,0.515182083,-8.999660885,59.5775,1,7,0,0,7,7,7,7,23,23,23,23,656
2019-02-01 00:00:00,0.12053125,0.35385075,-10.50089087,70.16,0.513176,-9.800001568,66.4775,0.514986,-8.999660885,59.54,0,1,7,0,8,8,8,8,8,24,24,24,656
2019-02-02 00:00:00,0.122125,0.354469167,-10.50089087,70.16,0.513176,-9.800001568,66.38,0.514986,-8.999660885,59.39,0,0,1,7,1,8,8,8,8,8,24,24,656
2019-02-03 00:00:00,0.12371875,0.354378667,-10.50089087,70.1525,0.513160917,-9.800001568,66.3575,0.514744667,-8.999660885,59.255,0,0,0,1,0,1,8,8,8,8,24,24,656
2019-02-04 00:00:00,0.1253125,0.354801,-10.50089087,69.98,0.512648083,-9.800001568,66.2,0.513522917,-8.999660885,59.0675,0,0,0,0,0,0,1,8,8,8,24,24,656
2019-02-05 00:00:00,0.12690625,0.355163,-10.50089087,69.98,0.512421833,-9.800001568,66.2,0.512783833,-8.999660885,58.8875,0,0,0,0,0,0,0,1,8,8,24,24,656
2019-02-06 00:00:00,0.1285,0.35575125,-10.50089087,69.98,0.511939167,-9.800001568,66.0575,0.512105083,-8.999660885,58.82,0,0,0,0,0,0,0,0,1,8,24,24,656
2019-02-07 00:00:00,0.129378947,0.356414917,-10.50089087,69.98,0.511728,-9.800189634,66.02,0.51209,-8.999660885,58.73,1,0,0,0,0,0,0,0,0,1,24,24,657
2019-02-08 00:00:00,0.130257895,0.35674675,-10.50089087,69.86,0.511728,-9.802258925,65.885,0.512120167,-8.999660885,58.79,1,1,0,0,1,1,1,1,1,1,25,25,658
2019-02-09 00:00:00,0.131136842,0.35647525,-10.50089087,69.8,0.511728,-9.82523943,65.6825,0.512738583,-8.999660885,58.82,0,1,1,0,2,2,2,2,2,2,10,26,658
2019-02-10 00:00:00,0.132015789,0.356188667,-10.50089087,69.8,0.511728,-9.872115238,65.66,0.513372083,-8.999660885,59,0,0,1,1,1,2,2,2,2,2,10,26,658
2019-02-11 00:00:00,0.132894737,0.355675833,-10.50089087,69.6875,0.511728,-9.895046635,65.54,0.513522917,-8.999660885,59.2325,1,0,0,1,0,1,2,2,2,2,10,26,659
2019-02-12 00:00:00,0.133773684,0.355147917,-10.50089087,69.62,0.511728,-9.89808465,65.48,0.51331175,-8.999660885,59.435,0,1,0,0,1,1,2,3,3,3,11,27,659
2019-02-13 00:00:00,0.134652632,0.356792,-10.50089087,69.62,0.512391667,-9.802263849,65.3825,0.515016167,-8.999660885,59.54,0,0,1,0,1,1,1,2,3,3,11,27,659
2019-02-14 00:00:00,0.135531579,0.35756125,-10.50089087,69.62,0.512376583,-9.800095601,65.3,0.514986,-8.999660885,59.54,17,0,0,1,0,1,1,1,2,3,4,27,676
2019-02-15 00:00:00,0.136410526,0.35792325,-10.50089087,69.515,0.511758167,-9.800095601,65.3,0.514986,-8.999660885,59.615,0,17,0,0,17,17,18,18,18,19,20,44,676
2019-02-16 00:00:00,0.137289474,0.357817667,-10.50089087,69.44,0.511728,-9.800189634,65.18,0.514789917,-8.999919966,59.72,0,0,17,0,17,17,17,18,18,18,20,28,676
2019-02-17 00:00:00,0.138168421,0.35747075,-10.50089087,69.44,0.511728,-9.800471733,65.12,0.513734083,-8.999919946,59.72,0,0,0,17,0,17,17,17,18,18,20,28,676
2019-02-18 00:00:00,0.139047368,0.358571833,-10.50089087,69.44,0.512240833,-9.800189634,65.12,0.51584575,-9.001388197,59.72,0,0,0,0,0,0,17,17,17,18,20,28,676
2019-02-19 00:00:00,0.139926316,0.359039417,-10.50089087,69.35,0.512452,-9.800001568,65.045,0.51584575,-9.008735578,59.825,12,0,0,0,0,0,0,17,17,17,20,28,688
2019-02-20 00:00:00,0.140805263,0.359567333,-10.50089087,69.26,0.512452,-9.800001568,64.94,0.516418917,-9.002770014,59.9,0,12,0,0,12,12,12,12,29,29,32,40,688
2019-02-21 00:00:00,0.141684211,0.359974583,-10.50089087,69.26,0.512452,-9.800001568,64.94,0.516434,-9.001301783,59.9,8,0,12,0,12,12,12,12,12,29,32,33,696
2019-02-22 00:00:00,0.142563158,0.360065083,-10.50089087,69.26,0.512452,-9.800001568,64.94,0.516434,-9.000524462,59.9,8,8,0,12,8,20,20,20,20,20,39,40,704
2019-02-23 00:00:00,0.143442105,0.360427083,-10.50089087,69.2,0.512452,-9.800001568,64.8575,0.516434,-8.999660885,59.9,4,8,8,0,16,16,28,28,28,28,46,48,708
2019-02-24 00:00:00,0.144321053,0.360261167,-10.50048795,69.08,0.512452,-9.800001568,64.76,0.516434,-8.999660885,59.8175,2,4,8,8,12,20,20,32,32,32,50,52,710
2019-02-25 00:00:00,0.1452,0.3594165,-10.49796979,69.08,0.512029667,-9.800001568,64.76,0.515951333,-8.999660885,59.72,24,2,4,8,6,14,22,22,34,34,52,54,734
2019-02-26 00:00:00,0.145925,0.359657833,-10.49635865,69.08,0.511803417,-9.800001568,64.76,0.515272583,-8.999660885,59.72,0,24,2,4,26,30,38,46,46,58,75,78,734
2019-02-27 00:00:00,0.14665,0.35937125,-10.49374103,69.0575,0.511728,-9.800001568,64.76,0.51512175,-8.999660885,59.7725,0,0,24,2,24,26,30,38,46,46,75,78,734
2019-02-28 00:00:00,0.147375,0.359341083,-10.48257133,68.9,0.511728,-9.800001568,64.76,0.515694917,-8.999660885,59.9,0,0,0,24,0,24,26,30,38,46,75,78,734
